ID,xloc,yloc,Mobility,BVf,lbs-ft,EUR-ft,CFF360
-7,-873,14736,,,389,48,167
-7,-873,14736,,,504,,
0,3364,5641,,5.38,251,59,43
1,3453,7876,20,6,317,56,69
2,31136,8032,8,5.7,498,76,107
3,31136,8032,9,3.42,497,13,139
8,11547,6965,,5.85,470,63,100
12,31441,3878,3,,465,26,116
15,12258,19567,10,4.74,392,39,105
18,122,29865,14,,490,75,107
19,-72,28303,11,5.92,502,50,106
20,-2639,28712,10,6.46,443,55,87
21,-3772,27982,15,,257,43,
22,-4596,27235,6,,38,42,
23,,,4,,,43,
24,6945,13500,11,,459,59,
25,2056,13316,8,6.4,452,48,98
26,6028,10001,14,6.76,521,69,162
27,12459,24798,11,6.28,542,47,165
28,12088,23338,11,4.39,468,47,91
30,12571,20806,8,4.21,487,51,143
31,2381,30788,10,,360,67,101
32,1340,30253,17,,485,80,
33,12181,17941,11,6.05,474,33,138
35,12257,15964,14,5.87,462,51,79
37,10728,15546,11,6.64,453,49,93
39,9798,15905,,8.02,78,41,133
40,7870,16528,9,7.3,441,44,82
41,7582,14707,7,5.79,501,39,76
42,6602,14346,10,5.67,379,52,82
43,6128,10893,8,5.13,394,33,87
44,8521,5121,16,5.03,490,62,83
45,8106,3737,15,4.38,469,97,
46,7698,2222,,,495,124,113
47,8024,-6034,,,427,135,90
55,31088,451,2,,486,12,116
56,31328,2023,1,,470,,
57,30894,6669,16,4.97,499,118,117
62,-5171,5255,20,,339,109,127
63,1083,4762,13,,356,83,
64,-413,2442,17,,349,78,
68,961,4791,9,,349,97,
87,17465,-11452,4,,43,37,
92,24473,15289,6,5.38,524,38,120
93,22152,15437,10,,52,64,
94,22332,11335,3,,376,107,
95,22553,9412,9,,317,84,
100,34479,10571,10,,491,40,99
101,32569,10579,6,,515,27,103
109,33687,10952,13,,250,111,
110,,,6,,,47,
111,31283,9231,17,,450,69,123
112,30543,8291,10,,482,46,99
113,30095,7120,9,,495,41,102
120,31875,-25978,3,,434,27,133
121,5601,-26265,4,,,57,
122,-10122,-14413,,,,200,
123,-10295,-19959,10,,346,43,105
128,3380,4164,16,,41,37,
130,,,13,,,50,
131,,,27,,,40,
132,,,10,,,41,
150,,,5,,,,
157,5640,-26303,5,,323,39,
